source,year,date,shift,set_name,question_id,question_number,question_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,canonical_question_id,source_tier,source_weight,year_weight,question_pattern,micro_concept,final_confidence,needs_review,source_url,raw_file_path,evidence_status,section_scope
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419971,21,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_3e498b372299125a,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419972,22,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_3211871771d28485,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419973,23,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_9fc6ffd9fc3a8ee1,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419974,24,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_9e76cc0e31b336d2,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419975,25,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_b221a47f89304a53,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419976,26,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_5de9a16a55fb5aec,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419977,27,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_5eab81e27bc7b691,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419978,28,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_138b9ae5275e23d8,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419979,29,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_87b251f22bd00c4e,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419980,30,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_4334bceec4ef00ee,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
