chapter,subtopic,question_count,source_weighted_frequency,recency_score,cross_year_consistency,cross_shift_consistency,question_type_diversity,ncert_directness,student_confusion_score,raw_score,study_priority_score,difficulty,study_hours_required,expected_marks_contribution,roi,top_pattern,top_micro_concept,recommended_action,percentile_rank,priority_tier
Business Finance,Owners' Funds,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Owners' Funds,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Business Finance,Project Appraisal,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Project Appraisal,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Business Finance,current assets,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,current assets,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Business Finance,financial statements and ratios,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,financial statements and ratios,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Consumer Protection,consumer products,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,consumer products,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Controlling,objectives of standardisation,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,feature-identification,objectives of standardisation,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Directing,principles of directing,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,feature-identification,principles of directing,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Entrepreneurship,Motivation for Entrepreneurship,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Motivation for Entrepreneurship,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Entrepreneurship Development,functions of an entrepreneur,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,feature-identification,functions of an entrepreneur,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Financial Management,Current Assets,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Current Assets,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Financial Management,Leverage Ratios,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Leverage Ratios,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Financial Management,Profitability Ratios,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Profitability Ratios,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Functions of Management,Staffing,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Staffing,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Marketing,Promotion Mix,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Promotion Mix,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Marketing,competition and response strategies,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,statement true/false,competition and response strategies,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Marketing Management,Brand Management,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Brand Management,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Nature and Scope of Business,Profession,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,feature-identification,Profession,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Nature and Significance of Management,Organizational Structure and Communication Networks,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Organizational Structure and Communication Networks,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Nature and Significance of Management,decentralization,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,decentralization,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Nature and Significance of Management,dimensions of management,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,dimensions of management,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Nature and Significance of Management,features of management as an art,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,feature-identification,features of management as an art,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Physical Distribution,Functions of Physical Distribution,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,Functions of Physical Distribution,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Planning,Budgeting,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,feature-identification,Budgeting,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Principles of Management,Principle of Authority and Responsibility,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,statement true/false,Principle of Authority and Responsibility,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Principles of Management,Techniques of Scientific Management,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,scientific management,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Principles of Management,environmental scanning techniques,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,environmental scanning techniques,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Staffing,employee retention,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,easy,0.95,15.25,16.05,definition-based,employee retention,Memorize NCERT summary and common examples,0.3909,Tier 3 = Medium priority
Business Finance,financial ratios,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,medium,1.45,15.25,10.52,match-the-following,financial ratios,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Entrepreneurship,Entrepreneurial Competencies,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,medium,1.45,15.25,10.52,statement true/false,Entrepreneurial Competencies,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Marketing,Classification of Products,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,medium,1.45,15.25,10.52,match-the-following,Classification of Products,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Marketing,Classification of products,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,medium,1.45,15.25,10.52,match-the-following,Classification of products,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Marketing,Pricing,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,medium,1.45,15.25,10.52,chronology/process order,price mix,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Nature and Significance of Management,types of business tests,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,medium,1.45,15.25,10.52,match-the-following,types of business tests,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Nature and Significance of Management,social objective,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,hard,1.95,15.25,7.82,case-study diagnosis,social objective,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Organising,divisional structure,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,hard,1.95,15.25,7.82,statement true/false,divisional structure,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Production and Operations Management,Economies of Scale,1,0.65,0.65,0.25,0.125,0.2,1.0,0.0,0.1525,15.25,hard,1.95,15.25,7.82,case-study diagnosis,Economies of Scale,Study after high-priority topics,0.3909,Tier 3 = Medium priority
Business Finance,Financing Decision,1,0.65,0.52,0.25,0.0,0.2,1.0,0.0,0.1368,13.68,easy,0.95,13.68,14.4,definition-based,financial risk,Memorize NCERT summary and common examples,0.0364,Tier 4 = Low priority
Financial Markets,Capital and Financial Markets,1,0.65,0.52,0.25,0.0,0.2,1.0,0.0,0.1368,13.68,easy,0.95,13.68,14.4,definition-based,Capital and Financial Markets,Memorize NCERT summary and common examples,0.0364,Tier 4 = Low priority
Financial Markets,Trading and Settlement Procedures,1,0.65,0.52,0.25,0.0,0.2,1.0,0.0,0.1368,13.68,easy,0.95,13.68,14.4,chronology/process order,Trading and Settlement Procedures,Memorize NCERT summary and common examples,0.0364,Tier 4 = Low priority
Primary Market,Floatation Methods,1,0.65,0.52,0.25,0.0,0.2,1.0,0.0,0.1368,13.68,easy,0.95,13.68,14.4,definition-based,Floatation Methods,Memorize NCERT summary and common examples,0.0364,Tier 4 = Low priority
